ID,Name_English,Countries,Degree_endangerment,Number_speakers,Description_location,endangerment_score,Countries_list,Region,Population,Area_sq_mi,Pop_density,Coastline,Migration,Infant_mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
1022,South Italian,Italy,Vulnerable,7500000.0,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria",1,Italy,WESTERN EUROPE                     ,58133509.0,301230.0,"193,0","2,52","2,07","5,94",26700.0,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688"
1023,Sicilian,Italy,Vulnerable,5000000.0,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities",1,Italy,WESTERN EUROPE                     ,58133509.0,301230.0,"193,0","2,52","2,07","5,94",26700.0,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688"
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000.0,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",1,Germany,WESTERN EUROPE                     ,82422299.0,357021.0,"230,9","0,67","2,18","4,16",27600.0,"99,0","667,9","33,85","0,59","65,56",3,"8,25","10,62","0,009","0,296","0,695"
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000.0,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",1,Denmark,WESTERN EUROPE                     ,5450661.0,43094.0,"126,5","16,97","2,48","4,56",31100.0,"100,0","614,6","54,02","0,19","45,79",3,"11,13","10,36","0,018","0,246","0,735"
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000.0,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",1,Netherlands,WESTERN EUROPE                     ,16491461.0,41526.0,"397,1","1,09","2,91","5,04",28600.0,"99,0","460,8","26,71","0,97","72,32",3,"10,9","8,68","0,021","0,244","0,736"
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000.0,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",1,Poland,EASTERN EUROPE                     ,38536869.0,312685.0,"123,3","0,16","-0,49","8,51",11100.0,"99,8","306,3","45,91","1,12","52,97",3,"9,85","9,89","0,05","0,311","0,64"
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation",Vulnerable,4800000.0,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,Belarus,C.W. OF IND. STATES ,10293011.0,207600.0,"49,6","0,00","2,54","13,37",6100.0,"99,6","319,1","29,55","0,6","69,85",4,"11,16","14,02","0,093","0,316","0,591"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,Latvia,BALTICS                            ,2274735.0,64589.0,"35,2","0,82","-2,23","9,55",10200.0,"99,8","321,4","29,67","0,47","69,86",3,"9,24","13,66","0,04","0,261","0,699"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,Lithuania,BALTICS                            ,3585906.0,65200.0,"55,0","0,14","-0,71","6,89",11400.0,"99,6","223,4","45,22","0,91","53,87",,"8,75","10,98","0,055","0,325","0,62"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,Poland,EASTERN EUROPE                     ,38536869.0,312685.0,"123,3","0,16","-0,49","8,51",11100.0,"99,8","306,3","45,91","1,12","52,97",3,"9,85","9,89","0,05","0,311","0,64"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,Russia,C.W. OF IND. STATES ,142893540.0,17075200.0,"8,4","0,22","1,02","15,39",8900.0,"99,6","280,6","7,33","0,11","92,56",,"9,95","14,65","0,054","0,371","0,575"
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",Vulnerable,4000000.0,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,1,Ukraine,C.W. OF IND. STATES ,46710816.0,603700.0,"77,4","0,46","-0,39","20,34",5400.0,"99,7","259,9","56,21","1,61","42,18",3,"8,82","14,39","0,187","0,452","0,361"
382,Lombard,"Italy, Switzerland",Definitely endangered,3500000.0,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",2,Italy,WESTERN EUROPE                     ,58133509.0,301230.0,"193,0","2,52","2,07","5,94",26700.0,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4","0,021","0,291","0,688"
